   Radius        Density      Pressure     
5.620000e+05  1.983169e+15  1.057449e+36
5.630000e+05  1.979660e+15  1.051845e+36
5.640000e+05  1.976146e+15  1.046255e+36
5.650000e+05  1.972629e+15  1.040679e+36
5.660000e+05  1.969109e+15  1.035117e+36
5.670000e+05  1.965584e+15  1.029569e+36
5.680000e+05  1.962056e+15  1.024035e+36
5.690000e+05  1.958525e+15  1.018515e+36
5.700000e+05  1.954989e+15  1.013010e+36
5.710000e+05  1.951450e+15  1.007518e+36
5.720000e+05  1.947908e+15  1.002041e+36
5.730000e+05  1.944361e+15  9.965774e+35
5.740000e+05  1.940811e+15  9.911284e+35
5.750000e+05  1.937257e+15  9.856937e+35
5.760000e+05  1.933699e+15  9.802731e+35
5.770000e+05  1.930138e+15  9.748668e+35
5.780000e+05  1.926573e+15  9.694747e+35
5.790000e+05  1.923004e+15  9.640969e+35
5.800000e+05  1.919431e+15  9.587334e+35
