              t                       Ixx                      Iyy                      Izz           
    3.769998245364433e+00     4.443277417586140e+44     4.443277505436445e+44     4.386305646340478e+44
    3.779997370690800e+00     4.432787851151557e+44     4.432787938050980e+44     4.382034697424099e+44
    3.789997113296076e+00     4.422276465774640e+44     4.422276552392868e+44     4.377823872937646e+44
    3.799998767265438e+00     4.411744927150806e+44     4.411745013025340e+44     4.373672994397985e+44
    3.809997816720904e+00     4.401200551339483e+44     4.401200637102626e+44     4.369582015524828e+44
    3.819998078513659e+00     4.390641529759187e+44     4.390641614465708e+44     4.365547507374410e+44
    3.829999921827011e+00     4.380071005310755e+44     4.380071090106744e+44     4.361568147889736e+44
    3.839997033637462e+00     4.369500061529911e+44     4.369500145032568e+44     4.357646407043993e+44
    3.849997689488295e+00     4.358924201564204e+44     4.358924285076738e+44     4.353779532473368e+44
    3.859996966369341e+00     4.348351140830012e+44     4.348351223914043e+44     4.349969497844129e+44
    3.869998154209844e+00     4.337778575772128e+44     4.337778658424258e+44     4.346215451957059e+44
    3.879998400526003e+00     4.327209634703623e+44     4.327209717464995e+44     4.342517915575597e+44
    3.889998203226189e+00     4.316642901587644e+44     4.316642983731678e+44     4.338876692389370e+44
    3.899998117652723e+00     4.306078754973765e+44     4.306078836381468e+44     4.335290516626309e+44
    3.909999954938504e+00     4.295515586162759e+44     4.295515667300088e+44     4.331758310473748e+44
    3.919999498469303e+00     4.284959386190108e+44     4.284959466954270e+44     4.328281076721617e+44
    3.929999484627222e+00     4.274408423072235e+44     4.274408503758437e+44     4.324857509599407e+44
    3.939999132197001e+00     4.263865282266551e+44     4.263865362785113e+44     4.321486746738596e+44
    3.949997569668308e+00     4.253332160868376e+44     4.253332241062000e+44     4.318167518930182e+44
    3.959999480167712e+00     4.242805876386217e+44     4.242805956211375e+44     4.314897477717416e+44
    3.969997109370984e+00     4.232295380380012e+44     4.232295460533680e+44     4.311677750730944e+44
    3.979999534071910e+00     4.221792627594822e+44     4.221792707223738e+44     4.308502863733030e+44
    3.989998494171323e+00     4.211307570337478e+44     4.211307650968603e+44     4.305374127648084e+44
    3.999999760586294e+00     4.200834646329938e+44     4.200834726872062e+44     4.302287585467020e+44
    4.009998665490627e+00     4.190380539745079e+44     4.190380620210192e+44     4.299242285278503e+44
