t,BToroidal_v_avg
5.020,     9.108657763277856e+16
5.030,     8.972567886563118e+16
5.040,     8.838604398820741e+16
5.050,     8.706878509497797e+16
5.060,     8.577452342170301e+16
5.070,     8.450548230783739e+16
5.080,     8.326160392791682e+16
5.090,     8.204541997293304e+16
5.100,     8.085748649445090e+16
5.110,     7.969906406339544e+16
5.120,     7.857135799598672e+16
5.130,     7.747643034642042e+16
5.140,     7.641442420047053e+16
5.150,     7.538697127094531e+16
5.160,     7.439526952383413e+16
5.170,     7.344008872598784e+16
5.180,     7.252259559776035e+16
5.190,     7.164424282134715e+16
5.200,     7.080517262953935e+16
5.210,     7.000691010010218e+16
5.220,     6.924942931035455e+16
5.230,     6.853397710006333e+16
5.240,     6.786039008302219e+16
5.250,     6.722964533970773e+16
5.260,     6.664149410263733e+16
5.270,     6.609693701980954e+16
5.280,     6.559537453798104e+16
5.290,     6.513711676203250e+16
5.300,     6.472197788456388e+16
5.310,     6.434974550977720e+16
5.320,     6.402037854638048e+16
5.330,     6.373313808434294e+16
5.340,     6.348778235047282e+16
5.350,     6.328369912047670e+16
5.360,     6.312026503126743e+16
5.400,     6.285999304925366e+16
5.450,     6.335494434359462e+16
5.500,     6.463997317537328e+16
5.550,     6.658063024441616e+16
5.600,     6.905524970781448e+16
5.650,     7.195860721706406e+16
5.700,     7.519983175664032e+16
5.750,     7.869990585584939e+16
5.800,     8.239360499558354e+16
5.850,     8.623784041188960e+16
5.900,     9.020932146091466e+16
5.950,     9.429363364882266e+16
6.000,     9.847792635625914e+16
6.050,     1.027428596996916e+17
6.100,     1.070616860516514e+17
6.150,     1.114020047574907e+17
6.200,     1.157315325533805e+17
6.250,     1.200219515106152e+17
6.300,     1.242486841973642e+17
6.350,     1.283881093110172e+17
6.400,     1.324147198312253e+17
6.450,     1.363057502185623e+17
6.500,     1.400438448288572e+17
6.550,     1.436185499468760e+17
6.600,     1.470258014844396e+17
6.650,     1.502654164032548e+17
6.700,     1.533411691107720e+17
