t,BPoloidal_v_avg
12.600,     2.716919148185996e+17
12.650,     2.721313748055079e+17
12.700,     2.725645011529248e+17
12.750,     2.730537883032239e+17
12.800,     2.735839274009177e+17
12.850,     2.741243285464552e+17
12.900,     2.746525835509363e+17
12.950,     2.751469289141920e+17
13.000,     2.755776364068062e+17
13.050,     2.759195380156615e+17
13.100,     2.761264530289542e+17
13.150,     2.762273824696159e+17
13.250,     2.763020145180007e+17
13.300,     2.763212701906527e+17
13.350,     2.763199880680294e+17
13.400,     2.763137040294473e+17
13.450,     2.763371841866509e+17
13.500,     2.764089265218634e+17
13.550,     2.765430901570769e+17
13.600,     2.767604143782363e+17
13.650,     2.770255561394636e+17
13.700,     2.773417985269792e+17
13.750,     2.777277199766617e+17
13.800,     2.781681403947597e+17
13.850,     2.786394686344121e+17
13.900,     2.791306634327245e+17
13.950,     2.796090532295470e+17
14.000,     2.800244093806964e+17
14.050,     2.803516449461874e+17
14.100,     2.806154484932954e+17
14.150,     2.808119075308355e+17
14.200,     2.809659760400614e+17
14.250,     2.810869451509461e+17
14.300,     2.811871495734347e+17
14.350,     2.812624702460961e+17
14.400,     2.813208554692288e+17
14.450,     2.813622944782607e+17
14.500,     2.813732473280671e+17
14.550,     2.813398591383972e+17
14.600,     2.812540869356823e+17
14.650,     2.811176452645324e+17
14.700,     2.809442167218463e+17
14.750,     2.807607062264564e+17
14.800,     2.805983108917653e+17
14.850,     2.804800997744764e+17
14.900,     2.804170142191251e+17
14.950,     2.804069704030082e+17
15.000,     2.804398005131752e+17
15.050,     2.805087411088927e+17
15.100,     2.806087110572030e+17
15.150,     2.807381626641327e+17
15.200,     2.808970733478392e+17
15.250,     2.810873606826446e+17
15.300,     2.813107671762820e+17
15.350,     2.815644135349519e+17
15.400,     2.818403858860927e+17
15.450,     2.821280820249835e+17
15.500,     2.824186824633483e+17
15.550,     2.827120813904305e+17
15.600,     2.830262995300532e+17
15.650,     2.833854741492914e+17
15.700,     2.838206790117086e+17
15.750,     2.843592021792886e+17
15.800,     2.850107030206950e+17
15.850,     2.857709658277773e+17
15.900,     2.866276829717798e+17
15.950,     2.875621656173350e+17
16.000,     2.885398976740763e+17
16.050,     2.895359042916779e+17
16.100,     2.905270174646780e+17
16.150,     2.914829410709893e+17
16.200,     2.923722404372022e+17
16.250,     2.931691558663350e+17
16.300,     2.938626871495512e+17
16.350,     2.944417964890501e+17
16.400,     2.949096246595625e+17
16.450,     2.952831073480039e+17
16.500,     2.955683289092235e+17
16.550,     2.957770648977393e+17
16.600,     2.959271787919163e+17
16.650,     2.960335242147164e+17
16.650,     2.960335242147164e+17
16.750,     2.961627726423479e+17
16.800,     2.962125158356393e+17
16.850,     2.962638754952368e+17
16.900,     2.963194593111488e+17
16.950,     2.963733586933023e+17
17.000,     2.964223937308484e+17
17.050,     2.964663813875727e+17
17.100,     2.965070850520653e+17
17.150,     2.965534373437291e+17
17.150,     2.965534373437291e+17
17.250,     2.967103172751610e+17
17.300,     2.968380423584991e+17
17.350,     2.969976170711528e+17
17.400,     2.971824233835278e+17
17.450,     2.973843547233848e+17
17.500,     2.975984136268317e+17
17.550,     2.978244828149935e+17
17.600,     2.980625504906504e+17
17.600,     2.980625504906504e+17
17.700,     2.985677230091604e+17
17.750,     2.988350290486108e+17
17.800,     2.991115069839417e+17
17.850,     2.993939967305032e+17
17.900,     2.996855011080771e+17
17.950,     2.999791112768241e+17
18.000,     3.002688146364655e+17
18.050,     3.005501272850805e+17
18.050,     3.005501272850805e+17
18.150,     3.010783149589124e+17
18.200,     3.013316814702023e+17
18.250,     3.015817161368733e+17
18.300,     3.018395348770164e+17
18.350,     3.021133802229896e+17
18.400,     3.024001674734039e+17
18.450,     3.026957908042332e+17
18.450,     3.026957908042332e+17
18.550,     3.033124275331417e+17
18.600,     3.036299878107924e+17
18.650,     3.039493526839676e+17
18.700,     3.042685338485540e+17
18.700,     3.042685338485540e+17
18.800,     3.049191490488093e+17
18.850,     3.052645260380243e+17
18.900,     3.056393076533080e+17
18.950,     3.060560188219345e+17
19.000,     3.065188051315167e+17
19.050,     3.070252245971543e+17
19.100,     3.075682679438417e+17
19.150,     3.081380318640602e+17
19.200,     3.087248269246346e+17
19.250,     3.093201750428506e+17
19.300,     3.099180236715717e+17
19.300,     3.099180236715717e+17
19.400,     3.110733059469948e+17
19.450,     3.116128058786606e+17
19.500,     3.121125616937283e+17
19.550,     3.125613803725820e+17
19.600,     3.129508886624819e+17
19.650,     3.132736204218506e+17
19.700,     3.135250106928389e+17
19.750,     3.137039762113869e+17
19.800,     3.138130984940224e+17
19.850,     3.138560791493629e+17
19.900,     3.138356984987162e+17
19.950,     3.137509931577185e+17
20.000,     3.136017534306449e+17
20.050,     3.133938865214204e+17
20.100,     3.131414007304480e+17
20.150,     3.128624882002741e+17
20.150,     3.128624882002741e+17
20.250,     3.122985191916524e+17
20.300,     3.120506145696442e+17
20.350,     3.118486352813091e+17
20.400,     3.117063271917237e+17
20.450,     3.116340014079372e+17
20.500,     3.116316070171841e+17
20.550,     3.116927093467888e+17
20.600,     3.118050528028897e+17
20.650,     3.119604936736845e+17
20.700,     3.121551495989129e+17
20.750,     3.123865597224580e+17
20.800,     3.126526033284728e+17
20.850,     3.129495592476354e+17
20.900,     3.132715645157834e+17
20.950,     3.136123286525405e+17
21.000,     3.139669065416792e+17
21.050,     3.143317206185091e+17
21.100,     3.147037427224108e+17
21.150,     3.150812171521416e+17
21.200,     3.154646176769008e+17
21.250,     3.158573546677145e+17
21.250,     3.158573546677145e+17
21.350,     3.166919037923508e+17
21.400,     3.171462209895390e+17
21.450,     3.176309159098006e+17
21.500,     3.181458867240762e+17
21.550,     3.186873581807169e+17
